GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ClientesResourceTest (QuarkusTest),bank.api.infra.exceptions,ErrorMessage,0,6,0,0,0,1,0,1,0,1
ClientesResourceTest (QuarkusTest),bank.api.infra.exceptions,ValidationException,0,13,0,0,0,3,0,2,0,2
ClientesResourceTest (QuarkusTest),bank.api.infra.exceptions,EntityException,0,13,0,0,0,3,0,2,0,2
ClientesResourceTest (QuarkusTest),bank.api.infra.exceptions,ConstraintException,10,3,0,0,2,1,1,1,1,1
ClientesResourceTest (QuarkusTest),bank.api.domain.endereco,DadosEndereco,0,24,0,0,0,1,0,1,0,1
ClientesResourceTest (QuarkusTest),bank.api.domain.endereco,Endereco,76,81,7,7,8,26,15,10,8,10
ClientesResourceTest (QuarkusTest),bank.api.domain.endereco,DadosAtualizarEndereco,0,24,0,0,0,1,0,1,0,1
ClientesResourceTest (QuarkusTest),bank.api.application,ClientesResource,0,62,0,0,0,11,0,6,0,6
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,DadosListagemCliente,0,26,0,0,0,3,0,2,0,2
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,DadosDetalhamentoCliente,0,41,0,0,0,9,0,2,0,2
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,ClienteRepository,0,3,0,0,0,1,0,1,0,1
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,ClienteService,0,79,0,6,0,19,0,9,0,6
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,DadosCadastroCliente,0,21,0,0,0,1,0,1,0,1
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,DadosAtualizarCliente,0,15,0,0,0,1,0,1,0,1
ClientesResourceTest (QuarkusTest),bank.api.domain.cliente,Cliente,60,69,3,3,4,21,11,10,8,10
